Pokedex Number,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0825,Dottler,Bug,335,50,35,80,50,90,30
0826,Orbeetle,Bug,505,60,45,110,80,120,90
0827,Nickit,Dark,245,40,28,28,47,52,50
0828,Thievul,Dark,455,70,58,58,87,92,90
0829,Gossifleur,Grass,250,40,40,60,40,60,10
0830,Eldegoss,Grass,460,60,50,90,80,120,60
0831,Wooloo,Normal,270,42,40,55,40,45,48
0832,Dubwool,Normal,490,72,80,100,60,90,88
0833,Chewtle,Water,284,50,64,50,38,38,44
0834,Drednaw,Water,485,90,115,90,48,68,74
0835,Yamper,Electric,270,59,45,50,40,50,26
0836,Boltund,Electric,490,69,90,60,90,60,121
0837,Rolycoly,Rock,240,30,40,50,40,50,30
0838,Carkol,Rock,410,80,60,90,60,70,50
0839,Coalossal,Rock,510,110,80,120,80,90,30
0840,Applin,Grass,260,40,40,80,40,40,20
0841,Flapple,Grass,485,70,110,80,95,60,70
0842,Appletun,Grass,485,110,85,80,100,80,30
0843,Silicobra,Ground,315,52,57,75,35,50,46
0844,Sandaconda,Ground,510,72,107,125,65,70,71
0845,Cramorant,Flying,475,70,85,55,85,95,85
0846,Arrokuda,Water,280,41,63,40,40,30,66
0847,Barraskewda,Water,490,61,123,60,60,50,136
0848,Toxel,Electric,242,40,38,35,54,35,40
0849,Toxtricity Amped Form,Electric,502,75,98,70,114,70,75
0849,Toxtricity Low Key Form,Electric,502,75,98,70,114,70,75
0850,Sizzlipede,Fire,305,50,65,45,50,50,45
0851,Centiskorch,Fire,525,100,115,65,90,90,65
0852,Clobbopus,Fighting,310,50,68,60,50,50,32
0853,Grapploct,Fighting,480,80,118,90,70,80,42
0854,Sinistea,Ghost,308,40,45,45,74,54,50
0855,Polteageist,Ghost,508,60,65,65,134,114,70
0856,Hatenna,Psychic,265,42,30,45,56,53,39
0857,Hattrem,Psychic,370,57,40,65,86,73,49
0858,Hatterene,Psychic,510,57,90,95,136,103,29
0859,Impidimp,Dark,265,45,45,30,55,40,50
0860,Morgrem,Dark,370,65,60,45,75,55,70
0861,Grimmsnarl,Dark,510,95,120,65,95,75,60
0862,Obstagoon,Dark,520,93,90,101,60,81,95
0863,Perrserker,Steel,440,70,110,100,50,60,50
0864,Cursola,Ghost,510,60,95,50,145,130,30
0865,Sirfetch'd,Fighting,507,62,135,95,68,82,65
0866,Mr. Rime,Ice,520,80,85,75,110,100,70
0867,Runerigus,Ground,483,58,95,145,50,105,30
0868,Milcery,Fairy,270,45,40,40,50,61,34
0869,Alcremie,Fairy,495,65,60,75,110,121,64
0870,Falinks,Fighting,470,65,100,100,70,60,75
0871,Pincurchin,Electric,435,48,101,95,91,85,15
0872,Snom,Ice,185,30,25,35,45,30,20
0873,Frosmoth,Ice,475,70,65,60,125,90,65
0874,Stonjourner,Rock,470,100,125,135,20,20,70
0875,Eiscue Ice Face,Ice,470,75,80,110,65,90,50
0875,Eiscue Noice Face,Ice,470,75,80,70,65,50,130
0876,Indeedee Male,Psychic,475,60,65,55,105,95,95
0876,Indeedee Female,Psychic,475,70,55,65,95,105,85
0877,Morpeko Full Belly Mode,Electric,436,58,95,58,70,58,97
0877,Morpeko Hangry Mode,Electric,436,58,95,58,70,58,97
0878,Cufant,Steel,330,72,80,49,40,49,40
0879,Copperajah,Steel,500,122,130,69,80,69,30
0880,Dracozolt,Electric,505,90,100,90,80,70,75
0881,Arctozolt,Electric,505,90,100,90,90,80,55
0882,Dracovish,Water,505,90,90,100,70,80,75
0883,Arctovish,Water,505,90,90,100,80,90,55
0884,Duraludon,Steel,535,70,95,115,120,50,85
0885,Dreepy,Dragon,270,28,60,30,40,30,82
0886,Drakloak,Dragon,410,68,80,50,60,50,102
0887,Dragapult,Dragon,600,88,120,75,100,75,142
0888,Zacian Hero of Many Battles,Fairy,660,92,120,115,80,115,138
0888,Zacian Crowned Sword,Fairy,700,92,150,115,80,115,148
0889,Zamazenta Hero of Many Battles,Fighting,660,92,120,115,80,115,138
0889,Zamazenta Crowned Shield,Fighting,700,92,120,140,80,140,128
0890,Eternatus,Poison,690,140,85,95,145,95,130
0890,Eternatus Eternamax,Poison,1125,255,115,250,125,250,130
0891,Kubfu,Fighting,385,60,90,60,53,50,72
0892,Urshifu Single Strike Style,Fighting,550,100,130,100,63,60,97
0892,Urshifu Rapid Strike Style,Fighting,550,100,130,100,63,60,97
0893,Zarude,Dark,600,105,120,105,70,95,105
0894,Regieleki,Electric,580,80,100,50,100,50,200
0895,Regidrago,Dragon,580,200,100,50,100,50,80
0896,Glastrier,Ice,580,100,145,130,65,110,30
0897,Spectrier,Ghost,580,100,65,60,145,80,130
0898,Calyrex,Psychic,500,100,80,80,80,80,80
0898,Calyrex Ice Rider,Psychic,680,100,165,150,85,130,50
0898,Calyrex Shadow Rider,Psychic,680,100,85,80,165,100,150
0899,Wyrdeer,Normal,525,103,105,72,105,75,65
0900,Kleavor,Bug,500,70,135,95,45,70,85
0901,Ursaluna,Ground,550,130,140,105,45,80,50
0901,Ursaluna Bloodmoon,Ground,555,113,70,120,135,65,52
0902,Basculegion Male,Water,530,120,112,65,80,75,78
0902,Basculegion Female,Water,530,120,92,65,100,75,78
0903,Sneasler,Fighting,510,80,130,60,40,80,120
0904,Overqwil,Dark,510,85,115,95,65,65,85
0905,Enamorus Incarnate Forme,Fairy,580,74,115,70,135,80,106
0905,Enamorus Therian Forme,Fairy,580,74,115,110,135,100,46
0906,Sprigatito,Grass,310,40,61,54,45,45,65
0907,Floragato,Grass,410,61,80,63,60,63,83
0908,Meowscarada,Grass,530,76,110,70,81,70,123
0909,Fuecoco,Fire,310,67,45,59,63,40,36
0910,Crocalor,Fire,411,81,55,78,90,58,49
0911,Skeledirge,Fire,530,104,75,100,110,75,66
0912,Quaxly,Water,310,55,65,45,50,45,50
0913,Quaxwell,Water,410,70,85,65,65,60,65
0914,Quaquaval,Water,530,85,120,80,85,75,85
0915,Lechonk,Normal,254,54,45,40,35,45,35
0916,Oinkologne Male,Normal,489,110,100,75,59,80,65
0916,Oinkologne Female,Normal,489,115,90,70,59,90,65
0917,Tarountula,Bug,210,35,41,45,29,40,20
0918,Spidops,Bug,404,60,79,92,52,86,35
0919,Nymble,Bug,210,33,46,40,21,25,45
0920,Lokix,Bug,450,71,102,78,52,55,92
0921,Pawmi,Electric,240,45,50,20,40,25,60
0922,Pawmo,Electric,350,60,75,40,50,40,85
0923,Pawmot,Electric,490,70,115,70,70,60,105
0924,Tandemaus,Normal,305,50,50,45,40,45,75
0925,Maushold Family of Four,Normal,470,74,75,70,65,75,111
0925,Maushold Family of Three,Normal,470,74,75,70,65,75,111
0926,Fidough,Fairy,312,37,55,70,30,55,65
0927,Dachsbun,Fairy,477,57,80,115,50,80,95
0928,Smoliv,Grass,260,41,35,45,58,51,30
0929,Dolliv,Grass,354,52,53,60,78,78,33
0930,Arboliva,Grass,510,78,69,90,125,109,39
0931,Squawkabilly Green Plumage,Normal,417,82,96,51,45,51,92
0931,Squawkabilly Blue Plumage,Normal,417,82,96,51,45,51,92
0931,Squawkabilly Yellow Plumage,Normal,417,82,96,51,45,51,92
0931,Squawkabilly White Plumage,Normal,417,82,96,51,45,51,92
0932,Nacli,Rock,280,55,55,75,35,35,25
0933,Naclstack,Rock,355,60,60,100,35,65,35
0934,Garganacl,Rock,500,100,100,130,45,90,35
0935,Charcadet,Fire,255,40,50,40,50,40,35
0936,Armarouge,Fire,525,85,60,100,125,80,75
0937,Ceruledge,Fire,525,75,125,80,60,100,85
0938,Tadbulb,Electric,272,61,31,41,59,35,45
0939,Bellibolt,Electric,495,109,64,91,103,83,45
0940,Wattrel,Electric,280,40,40,35,55,40,70
0941,Kilowattrel,Electric,490,70,70,60,105,60,125
0942,Maschiff,Dark,340,60,78,60,40,51,51
0943,Mabosstiff,Dark,505,80,120,90,60,70,85
0944,Shroodle,Poison,290,40,65,35,40,35,75
0945,Grafaiai,Poison,485,63,95,65,80,72,110
0946,Bramblin,Grass,275,40,65,30,45,35,60
0947,Brambleghast,Grass,480,55,115,70,80,70,90
0948,Toedscool,Ground,335,40,40,35,50,100,70
0949,Toedscruel,Ground,515,80,70,65,80,120,100
0950,Klawf,Rock,450,70,100,115,35,55,75
0951,Capsakid,Grass,304,50,62,40,62,40,50
0952,Scovillain,Grass,486,65,108,65,108,65,75
0953,Rellor,Bug,270,41,50,60,31,58,30
0954,Rabsca,Bug,470,75,50,85,115,100,45
0955,Flittle,Psychic,255,30,35,30,55,30,75
0956,Espathra,Psychic,481,95,60,60,101,60,105
0957,Tinkatink,Fairy,297,50,45,45,35,64,58
0958,Tinkatuff,Fairy,380,65,55,55,45,82,78
0959,Tinkaton,Fairy,506,85,75,77,70,105,94
0960,Wiglett,Water,245,10,55,25,35,25,95
0961,Wugtrio,Water,425,35,100,50,50,70,120
0962,Bombirdier,Flying,485,70,103,85,60,85,82
0963,Finizen,Water,315,70,45,40,45,40,75
0964,Palafin Zero Form,Water,457,100,70,72,53,62,100
0964,Palafin Hero Form,Water,650,100,160,97,106,87,100
0965,Varoom,Steel,300,45,70,63,30,45,47
0966,Revavroom,Steel,500,80,119,90,54,67,90
0967,Cyclizar,Dragon,501,70,95,65,85,65,121
0968,Orthworm,Steel,480,70,85,145,60,55,65
0969,Glimmet,Rock,350,48,35,42,105,60,60
0970,Glimmora,Rock,525,83,55,90,130,81,86
0971,Greavard,Ghost,290,50,61,60,30,55,34
0972,Houndstone,Ghost,488,72,101,100,50,97,68
0973,Flamigo,Flying,500,82,115,74,75,64,90
0974,Cetoddle,Ice,334,108,68,45,30,40,43
0975,Cetitan,Ice,521,170,113,65,45,55,73
0976,Veluza,Water,478,90,102,73,78,65,70
0977,Dondozo,Water,530,150,100,115,65,65,35
0978,Tatsugiri Curly Form,Dragon,475,68,50,60,120,95,82
0978,Tatsugiri Droopy Form,Dragon,475,68,50,60,120,95,82
0978,Tatsugiri Stretchy Form,Dragon,475,68,50,60,120,95,82
0979,Annihilape,Fighting,535,110,115,80,50,90,90
0980,Clodsire,Poison,430,130,75,60,45,100,20
0981,Farigiraf,Normal,520,120,90,70,110,70,60
0982,Dudunsparce Two-Segment Form,Normal,520,125,100,80,85,75,55
0982,Dudunsparce Three-Segment Form,Normal,520,125,100,80,85,75,55
0983,Kingambit,Dark,550,100,135,120,60,85,50
0984,Great Tusk,Ground,570,115,131,131,53,53,87
0985,Scream Tail,Fairy,570,115,65,99,65,115,111
0986,Brute Bonnet,Grass,570,111,127,99,79,99,55
0987,Flutter Mane,Ghost,570,55,55,55,135,135,135
0988,Slither Wing,Bug,570,85,135,79,85,105,81
0989,Sandy Shocks,Electric,570,85,81,97,121,85,101
0990,Iron Treads,Ground,570,90,112,120,72,70,106
0991,Iron Bundle,Ice,570,56,80,114,124,60,136
0992,Iron Hands,Fighting,570,154,140,108,50,68,50
0993,Iron Jugulis,Dark,570,94,80,86,122,80,108
0994,Iron Moth,Fire,570,80,70,60,140,110,110
0995,Iron Thorns,Rock,570,100,134,110,70,84,72
0996,Frigibax,Dragon,320,65,75,45,35,45,55
0997,Arctibax,Dragon,423,90,95,66,45,65,62
0998,Baxcalibur,Dragon,600,115,145,92,75,86,87
0999,Gimmighoul Chest Form,Ghost,300,45,30,70,75,70,10
0999,Gimmighoul Roaming Form,Ghost,300,45,30,25,75,45,80
1000,Gholdengo,Steel,550,87,60,95,133,91,84
1001,Wo-Chien,Dark,570,85,85,100,95,135,70
1002,Chien-Pao,Dark,570,80,120,80,90,65,135
1003,Ting-Lu,Dark,570,155,110,125,55,80,45
1004,Chi-Yu,Dark,570,55,80,80,135,120,100
1005,Roaring Moon,Dragon,590,105,139,71,55,101,119
1006,Iron Valiant,Fairy,590,74,130,90,120,60,116
1007,Koraidon,Fighting,670,100,135,115,85,100,135
1008,Miraidon,Electric,670,100,85,100,135,115,135
1009,Walking Wake,Water,590,99,83,91,125,83,109
1010,Iron Leaves,Grass,590,90,130,88,70,108,104
1011,Dipplin,Grass,485,80,80,110,95,80,40
1012,Poltchageist,Grass,308,40,45,45,74,54,50
1013,Sinistcha,Grass,508,71,60,106,121,80,70
1014,Okidogi,Poison,555,88,128,115,58,86,80
1015,Munkidori,Poison,555,88,75,66,130,90,106
1016,Fezandipiti,Poison,555,88,91,82,70,125,99
1017,Ogerpon Teal Mask,Grass,550,80,120,84,60,96,110
1017,Ogerpon Wellspring Mask,Grass,550,80,120,84,60,96,110
1017,Ogerpon Hearthflame Mask,Grass,550,80,120,84,60,96,110
1017,Ogerpon Cornerstone Mask,Grass,550,80,120,84,60,96,110
1018,Archaludon,Steel,600,90,105,130,125,65,85
1019,Hydrapple,Grass,540,106,80,110,120,80,44
1020,Gouging Fire,Fire,590,105,115,121,65,93,91
1021,Raging Bolt,Electric,590,125,73,91,137,89,75
1022,Iron Boulder,Rock,590,90,120,80,68,108,124
1023,Iron Crown,Steel,590,90,72,100,122,108,98
1024,Terapagos Normal Form,Normal,450,90,65,85,65,85,60
1024,Terapagos Terastal Form,Normal,600,95,95,110,105,110,85
1024,Terapagos Stellar Form,Normal,700,160,105,110,130,110,85
1025,Pecharunt,Poison,600,88,88,160,88,88,88
